SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,3,1652,1591,1335
2,3,1895,1767,1927
2,4,5347,2675,663
2,4,3385,3296,760
2,2,1610,0,884
2,2,2101,0,906
2,2,1436,0,993
2,2,1408,0,859
2,3,1741,1518,1866
2,3,2065,1634,1541
2,3,1764,2325,1604
2,3,1894,1733,1474
2,4,5442,4025,733
2,4,2837,3256,601
2,2,1746,0,1173
2,2,1534,0,874
2,3,1960,1594,1327
2,3,1851,2435,1521
2,4,4296,4802,1010
2,4,4594,5388,742
2,2,1665,0,856
2,2,1940,0,1122
2,2,1675,0,975
2,2,2169,0,1072
2,3,2406,2429,1380
2,3,1600,1745,1189
2,3,1469,1686,1378
2,3,1964,2637,1727
2,4,3144,2649,586
2,4,3219,2849,595
2,2,1615,0,837
2,2,1788,0,858
2,3,1836,1534,1432
2,3,2329,2835,2037
2,4,3589,2966,763
2,4,3784,2918,696
2,2,1819,0,1094
2,2,2005,0,1096
2,2,2262,0,1161
2,2,1659,0,776
2,3,3174,1638,1574
2,3,1682,2075,1121
2,3,1742,1345,1362
2,3,1560,1275,1548
2,4,3001,2223,596
2,4,2814,2323,584
2,2,1543,0,1173
2,2,1470,0,831
2,3,2229,1880,1345
2,3,2209,3577,1915
2,4,3810,3830,701
2,4,3542,3349,719
2,2,1842,0,902
2,2,1523,0,1038
2,2,1666,0,841
2,2,1504,0,961
2,3,2397,1302,1290
2,3,1907,1782,1199
2,3,1964,2967,1821
2,3,2177,1949,1326
2,4,5371,2982,649
2,4,2837,2841,630
2,2,1957,0,1044
2,2,1484,0,1074
2,3,1984,1871,1310
2,3,1775,2049,1208
2,4,3275,3780,585
2,4,3414,4728,797
2,2,1931,0,887
2,2,1668,0,846
2,2,1699,0,926
2,2,1606,0,924
2,3,1544,1249,1085
2,3,1598,1176,1517
2,3,1606,1310,1112
2,3,1700,2142,1393
2,4,2738,2585,557
2,4,2817,3638,625
2,2,1565,0,848
2,2,1577,0,910
2,3,1432,1468,1741
2,3,2231,1440,1267
2,4,3643,2440,583
2,4,4504,2485,592
2,2,1501,0,841
2,2,1650,0,842
2,2,1534,0,926
2,2,1523,0,855
2,3,1494,1418,1488
2,3,1693,1748,1255
2,3,2001,1873,1230
2,3,3326,1882,1194
2,4,2758,2252,538
2,4,3667,2244,575
2,2,1609,0,840
2,2,1747,0,881
2,3,1976,1836,1650
2,3,2765,1891,2107
2,4,6876,8027,1621
2,4,5873,4489,1210
2,2,2056,0,1806
2,2,2999,0,2494
2,2,2742,0,1482
2,2,2141,0,1323
2,3,2099,2127,2193
2,3,2626,3781,2875
2,3,2099,3753,2761
2,3,2685,2059,2103
2,4,6543,4397,925
2,4,6530,4189,687
2,2,2841,0,1620
2,2,1847,0,1170
2,3,1792,1908,1548
2,3,1820,1523,1272
2,4,3337,4584,730
2,4,3256,2913,583
2,2,2354,0,1196
2,2,1696,0,808
2,2,1700,0,988
2,2,1961,0,983
2,3,1532,1645,1212
2,3,1571,1507,1218
2,3,1691,1556,1623
2,3,1642,1845,2294
2,4,3125,2391,576
2,4,2765,3292,654
2,2,1431,0,1105
2,2,1547,0,943
2,3,1719,2002,1628
2,3,1725,1687,1937
2,4,4323,3674,904
2,4,3478,2671,521
2,2,1512,0,993
2,2,1976,0,1236
2,2,1595,0,785
2,2,1635,0,810
2,3,1480,1601,1524
2,3,1484,1266,1255
2,3,1644,1385,1055
2,3,1932,1422,1083
2,4,2706,2492,725
2,4,3493,2531,544
2,2,1584,0,953
2,2,1766,0,828
2,3,1870,1610,1440
2,3,1739,1623,1375
2,4,3304,2271,553
2,4,2760,2907,691
2,2,1543,0,999
2,2,1587,0,841
2,2,1523,0,853
2,2,1763,0,975
2,3,1948,1851,1767
2,3,1661,2139,1075
2,3,1542,1472,1201
2,3,1573,1417,1129
2,4,3186,3159,610
2,4,2930,2771,555
2,2,1543,0,854
2,2,1400,0,932
2,3,2055,1281,1454
2,3,2264,1742,1735
2,4,3684,2528,559
2,4,3531,2780,737
2,2,1559,0,950
2,2,2424,0,1048
2,2,1630,0,788
2,2,1586,0,911
2,3,1959,2547,1491
2,3,1760,1759,1237
2,3,1800,2250,1521
2,3,1638,1695,1376
2,4,2976,3505,901
2,4,3043,2392,526
2,2,1426,0,884
2,2,2080,0,934
2,3,1714,2836,2167
2,3,2900,2975,1845
2,4,4626,3332,647
2,4,3417,2960,566
2,2,1557,0,858
2,2,1657,0,925
2,2,1445,0,770
2,2,1756,0,952
2,3,1778,1490,1997
2,3,1594,1263,1139
2,3,1585,1240,1028
2,3,1431,1198,1332
2,4,2714,2806,552
2,4,3225,3538,682
2,2,1977,0,1284
2,2,1771,0,843
2,3,1715,1641,1469
2,3,2184,2089,1455
2,4,3047,3122,747
2,4,3621,3278,924
2,2,1447,0,837
2,2,2176,0,1056
2,2,1603,0,807
2,2,1633,0,789
2,3,1821,1770,1436
2,3,1426,1616,1315
2,3,1677,1975,1542
2,3,1704,1308,1154
2,4,3259,3295,619
2,4,3628,3118,594
2,2,1818,0,1037
2,2,1838,0,777
2,3,1742,2038,1870
2,3,2253,2124,1944
2,4,4417,3981,623
2,4,3758,3582,655
2,2,1605,0,800
2,2,1936,0,959
2,2,1673,0,905
2,2,2023,0,1013
2,3,2221,2204,1278
2,3,1896,1833,2004
2,3,2360,2447,2659
2,3,1891,2249,1795
2,4,4706,3663,982
2,4,3668,4577,743
2,2,1962,0,922
2,2,2134,0,1125
2,3,2103,1735,1720
2,3,1785,1607,1212
2,4,4039,3202,1151
2,4,3669,2922,610
2,2,1848,0,767
2,2,1716,0,939
2,2,1615,0,857
2,2,1557,0,749
2,3,1655,1471,1704
2,3,2113,1796,1251
2,3,1764,1653,1215
2,3,1856,1784,1223
2,4,3094,2854,589
2,4,3031,2553,631
2,2,1978,0,961
2,2,1688,0,1000
2,3,1795,1698,1371
2,3,1800,1697,1651
2,4,4141,3872,729
2,4,3275,2887,581
2,2,1578,0,939
2,2,1840,0,945
2,2,1636,0,824
2,2,1961,0,1075
2,3,1525,1397,1755
2,3,1570,1348,1275
2,3,1532,1606,1187
2,3,2160,1908,1521
2,4,3426,3517,942
2,4,3165,2622,547
2,2,1635,0,1033
2,2,2003,0,1602
2,3,1894,1675,1985
2,3,1712,1582,1370
2,4,3427,4474,652
2,4,4135,4281,867
2,2,1879,0,1066
2,2,1748,0,957
2,2,2412,0,1230
2,2,1823,0,836
2,3,1753,1794,1617
2,3,1818,1598,1675
2,3,1975,1513,1260
2,3,1589,1382,1143
2,4,3038,2955,581
2,4,3211,2583,760
2,2,1858,0,1171
2,2,1615,0,832
2,3,2121,2128,2278
2,3,1742,1619,1224
2,4,3685,4241,720
2,4,3166,2707,671
2,2,1532,0,777
2,2,1474,0,794
2,2,1468,0,791
2,2,1482,0,795
2,3,1433,1256,1304
2,3,1611,1773,1174
2,3,1551,1221,1074
2,3,1642,1554,1281
2,4,3028,2685,665
2,4,3354,2937,582
2,2,1667,0,1214
2,2,1665,0,830
2,3,1745,1783,1479
2,3,2040,2000,1500
2,4,3262,3867,682
2,4,3244,2345,766
2,2,1536,0,954
2,2,1481,0,1072
2,2,1469,0,1043
2,2,1440,0,1040
2,3,1533,1222,1236
2,3,1441,1293,1288
2,3,1488,1180,1285
2,3,1882,2029,1563
2,4,3530,2665,661
2,4,3209,3493,725
2,2,1699,0,871
2,2,1642,0,1008
2,3,1857,1984,1854
2,3,1955,1465,1380
2,4,3520,2881,802
2,4,3082,2887,648
2,2,1837,0,1257
2,2,1605,0,935
2,2,1892,0,829
2,2,1821,0,1304
2,3,1628,1622,1254
2,3,1667,1367,1160
2,3,1580,1469,1044
2,3,1672,1449,1197
2,4,2979,3163,571
2,4,2869,3331,594
2,2,1731,0,1042
2,2,1788,0,1047
2,3,1886,1722,1470
2,3,1939,2001,1659
2,4,4158,4166,638
2,4,3502,3434,665
2,2,2153,0,1280
2,2,1897,0,935
2,2,1655,0,1186
2,2,1715,0,1117
2,3,1787,2047,1377
2,3,2013,2290,1755
2,3,2126,2192,1534
2,3,2054,2234,2519
2,4,4546,3611,709
2,4,3358,2674,686
2,2,2003,0,1264
2,2,1694,0,1055
2,3,1858,2590,1536
2,3,1823,1352,1105
2,4,3601,3012,589
2,4,3149,3867,698
