SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,3,3957,1876,2380
2,3,1800,1835,1531
2,4,4433,2804,750
2,4,3234,2930,555
2,2,2719,0,1013
2,2,1754,0,980
2,2,1527,0,839
2,2,1482,0,795
2,3,1547,1352,1418
2,3,1886,1277,1171
2,3,1495,1224,1165
2,3,1729,1615,1378
2,4,3158,2574,570
2,4,3728,2979,585
2,2,1507,0,918
2,2,1658,0,1014
2,3,3386,3069,2314
2,3,1678,1777,1278
2,4,3513,3436,584
2,4,3410,2802,595
2,2,1605,0,887
2,2,1713,0,888
2,2,1710,0,875
2,2,1548,0,778
2,3,1737,1716,1401
2,3,1684,1432,1130
2,3,1830,1570,1195
2,3,1969,1768,1129
2,4,3205,2810,553
2,4,2969,2688,584
2,2,1908,0,835
2,2,2222,0,903
2,3,1969,1665,1974
2,3,2132,1722,1126
2,4,3372,3255,591
2,4,4066,3252,577
2,2,1670,0,953
2,2,1650,0,808
2,2,1943,0,1139
2,2,2006,0,1446
2,3,1568,1699,1479
2,3,1627,1379,1344
2,3,1850,1822,1295
2,3,1933,1730,1602
2,4,2980,3059,598
2,4,3188,3175,681
2,2,1573,0,813
2,2,1658,0,1032
2,1,3,0,1109
2,3,2537,1701,1479
2,1,2,0,757
2,1,2,0,720
2,3,1932,2397,1590
2,1,3,0,1129
2,4,3327,2645,778
2,4,4452,2806,596
2,2,1616,0,1254
2,2,1613,0,1155
2,2,1823,0,991
2,2,1481,0,897
2,3,1574,1219,1157
2,3,1784,1611,1400
2,3,1511,1125,1040
2,3,1548,1230,1165
2,4,2931,2424,620
2,4,2963,2266,544
2,2,1561,0,1085
2,2,1605,0,833
2,1,2,0,902
2,1,3,0,969
2,1,2,0,929
2,1,2,0,747
2,3,1845,1585,1428
2,3,1539,1425,1242
2,4,3130,2630,681
2,4,3655,3010,711
2,2,1647,0,941
2,2,1634,0,921
2,2,1640,0,1050
2,2,1752,0,900
2,3,1609,1471,1123
2,3,1680,1748,1591
2,3,1625,1396,1112
2,3,1570,1521,1110
2,1,4,0,1586
2,1,3,0,1067
2,4,3838,3633,817
2,1,5,0,1416
2,1,4,0,1352
