SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,3,1461,1463,1244
2,3,1461,1300,1351
2,4,2792,2746,602
2,4,3076,3647,559
2,1,2,0,717
2,2,1845,0,1158
2,1,3,0,1313
2,2,1514,0,1261
2,1,3,0,790
2,1,2,0,873
2,1,2,0,919
2,1,3,0,1005
2,1,2,0,787
2,3,1939,1585,1939
2,1,3,0,1406
2,3,1642,1265,1302
2,1,3,0,849
2,1,4,0,1225
2,1,4,0,1084
2,4,3901,3657,843
2,1,2,0,822
2,4,3750,2829,818
2,2,1542,0,909
2,2,1462,0,814
2,2,1445,0,860
2,3,1612,1350,1229
2,3,1549,1197,1182
2,3,1643,1326,1352
2,4,3473,2774,600
2,4,2697,2455,572
2,2,1529,0,924
2,2,1782,0,948
2,1,2,0,737
2,1,2,0,997
2,1,2,0,1005
2,1,3,0,796
2,1,3,0,985
2,1,2,0,735
2,3,1814,1498,1325
2,3,1885,1345,1396
2,4,3301,2838,626
2,4,3299,2785,680
2,2,1616,0,894
2,2,1534,0,1036
2,1,2,0,764
2,2,1560,0,1000
2,1,2,0,734
2,1,3,0,1082
2,3,2233,1650,1376
2,1,3,0,811
2,1,4,0,946
2,3,1964,1500,1098
2,1,2,0,729
2,3,1682,1230,1187
2,4,3053,2548,641
2,4,2663,2315,536
2,2,1548,0,780
2,2,1834,0,786
2,1,2,0,1151
2,1,3,0,1034
2,1,3,0,1212
2,1,2,0,895
2,1,4,0,1100
2,1,2,0,702
2,3,1920,1386,1148
2,3,1605,1327,1121
2,4,3772,2594,551
2,4,3146,2726,581
2,2,1597,0,990
2,2,1986,0,1143
2,2,1605,0,1034
2,3,1424,1281,1190
2,3,1676,1738,1299
2,3,1561,1194,1151
2,4,2811,2885,602
2,1,3,0,799
2,1,2,0,802
2,4,3004,2900,705
2,1,2,0,683
2,2,1461,0,1659
2,1,2,0,1232
2,2,1460,0,801
2,1,3,0,880
2,1,2,0,678
2,1,2,0,1323
2,3,2294,2303,2043
2,1,3,0,1320
2,3,1603,1260,1793
2,1,2,0,949
2,1,3,0,853
2,1,4,0,1078
2,4,3515,3485,677
2,1,2,0,771
2,4,3019,2674,920
2,2,1969,0,913
2,2,1619,0,999
2,2,1551,0,760
2,3,1583,1707,1112
2,3,1499,1251,1372
2,3,1486,1231,1207
2,4,2898,2654,640
2,4,2675,2415,595
2,2,2430,0,1035
2,2,1520,0,794
2,1,2,0,965
2,1,2,0,929
2,1,3,0,750
2,1,3,0,853
2,1,2,0,727
2,1,2,0,1001
2,3,3456,2496,2805
2,3,1595,1382,1274
2,4,3270,2326,522
2,4,3096,2396,581
2,2,1809,0,965
2,1,2,0,706
2,2,1818,0,1045
2,1,2,0,1026
2,1,2,0,717
2,2,1626,0,891
2,1,3,0,839
2,1,3,0,1346
2,3,2083,1878,1177
2,1,3,0,1038
2,3,1506,1285,1166
2,3,1780,1540,1227
2,4,2737,2360,633
2,4,2750,2379,534
2,2,1484,0,1160
2,2,1507,0,833
2,1,4,0,1291
2,1,2,0,988
2,1,2,0,1079
2,1,2,0,757
2,1,2,0,741
2,1,2,0,879
2,3,2153,1836,1507
2,3,2117,1582,1554
2,4,2908,2532,590
2,4,3199,2378,772
2,2,1800,0,857
2,2,1809,0,937
2,2,2035,0,892
2,3,1610,1429,1083
2,3,1486,1355,1098
2,3,1526,1197,1109
2,4,2721,3776,604
2,1,3,0,1196
2,1,4,0,903
2,1,3,0,857
2,4,3652,3000,515
2,1,2,0,687
