SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2000,1,2,0,769
2000,1,2,0,946
2000,1,2,0,866
2000,1,2,0,767
2000,1,3,0,902
2000,1,3,0,1172
2000,3,539,419,1294
2000,3,568,404,919
2000,4,851,959,698
2000,4,883,617,402
2000,2,408,0,808
2000,2,581,0,991
2000,2,601,0,1043
2000,2,616,0,894
2000,3,445,600,872
2000,3,490,310,861
2000,3,513,383,799
2000,3,623,650,932
2000,4,832,515,384
2000,4,822,616,508
2000,2,561,0,822
2000,2,537,0,809
2000,3,539,279,898
2000,3,524,319,1117
2000,4,1102,645,470
2000,4,953,645,533
2000,2,495,0,1093
2000,2,464,0,807
2000,2,765,0,816
2000,3,628,520,1052
2000,3,448,288,856
2000,3,578,408,891
2000,4,887,598,430
2000,4,749,483,364
2000,2,410,0,741
2000,2,519,0,1026
2000,1,2,0,673
2000,1,2,0,745
2000,1,1,0,665
2000,1,2,0,699
2000,1,3,0,872
2000,1,3,0,934
2000,3,438,375,886
2000,3,440,321,764
2000,4,937,808,677
2000,4,857,772,482
2000,2,567,0,916
2000,2,570,0,1081
2000,2,595,0,1234
2000,2,668,0,1430
2000,3,464,308,822
2000,3,648,475,857
2000,3,475,305,887
2000,3,567,373,904
2000,4,940,512,440
2000,4,965,544,428
2000,2,481,0,786
2000,2,620,0,689
2000,3,412,307,1182
2000,3,451,359,859
2000,4,946,777,509
2000,4,815,633,507
2000,2,519,0,845
2000,2,528,0,868
2000,2,402,0,777
2000,3,582,448,1403
2000,3,585,386,1025
2000,3,450,340,856
2000,4,1109,708,484
2000,4,889,686,384
2000,2,591,0,802
2000,2,410,0,667
2000,3,525,521,1043
2000,3,530,402,1041
2000,3,510,343,777
2000,3,577,430,946
2000,4,835,666,543
2000,4,798,628,523
2000,2,428,0,831
2000,2,479,0,807
2000,3,489,288,935
2000,3,547,303,806
2000,4,735,542,374
2000,4,691,505,393
2000,2,616,0,960
2000,2,496,0,919
2000,2,423,0,730
2000,2,464,0,670
2000,3,664,428,1003
2000,3,862,472,1140
2000,3,536,416,989
2000,3,412,300,862
2000,4,902,1295,407
2000,4,723,579,487
2000,2,526,0,985
2000,2,411,0,787
2000,3,460,323,1050
2000,3,628,325,998
2000,4,703,582,390
2000,4,648,527,382
2000,2,540,0,798
2000,2,648,0,1235
2000,2,519,0,858
2000,2,472,0,816
2000,1,2,0,697
2000,1,3,0,877
2000,1,2,0,992
2000,1,3,0,743
2000,3,553,471,906
2000,3,499,319,742
2000,3,518,460,1085
2000,4,1059,839,742
2000,4,1094,677,516
2000,2,893,0,1471
2000,2,643,0,1037
2000,3,493,585,949
2000,3,583,876,1108
2000,4,1536,586,501
2000,4,842,608,399
2000,2,524,0,905
2000,2,500,0,865
2000,2,583,0,922
2000,3,445,450,861
2000,3,518,319,864
2000,3,400,363,922
2000,4,939,888,449
2000,4,844,796,461
2000,2,763,0,742
2000,2,439,0,874
2000,3,415,307,1348
2000,3,435,377,885
2000,4,799,538,414
2000,4,913,767,465
2000,2,699,0,795
2000,2,525,0,701
2000,2,531,0,762
2000,1,2,0,679
2000,1,4,0,894
2000,1,4,0,958
2000,1,3,0,791
2000,1,2,0,935
2000,1,3,0,1074
2000,1,2,0,827
2000,1,2,0,737
2000,1,3,0,981
2000,1,2,0,711
2000,3,509,332,1019
2000,3,486,432,1259
2000,4,894,508,368
2000,4,666,591,424
2000,2,460,0,804
2000,2,561,0,956
2000,2,578,0,1274
2000,2,467,0,1193
2000,3,430,284,1002
2000,3,467,277,825
2000,3,498,429,1019
2000,3,526,354,1042
2000,4,878,530,425
2000,4,742,578,417
2000,2,435,0,780
2000,2,421,0,1042
2000,3,562,340,986
2000,3,445,310,830
2000,4,960,536,421
2000,4,966,658,624
2000,2,440,0,841
2000,2,528,0,993
2000,2,729,0,796
2000,3,411,340,1074
2000,3,515,446,921
2000,3,567,432,788
2000,4,717,641,430
2000,4,729,538,393
2000,2,828,0,865
2000,2,601,0,878
2000,1,2,0,738
2000,1,4,0,1243
2000,1,2,0,964
2000,1,3,0,1085
2000,1,3,0,884
2000,1,3,0,936
2000,3,600,535,1053
2000,3,675,531,1527
2000,4,948,811,493
2000,4,795,509,438
2000,2,529,0,1017
2000,2,554,0,1172
2000,2,439,0,1096
2000,2,689,0,833
2000,3,439,303,763
2000,3,459,361,1120
2000,3,585,291,814
2000,3,426,303,1020
2000,4,828,558,402
2000,4,696,486,382
2000,2,508,0,733
2000,2,561,0,709
2000,3,653,315,1209
2000,3,583,588,1238
2000,4,868,687,495
2000,4,945,745,413
2000,2,619,0,801
2000,2,452,0,899
2000,2,581,0,978
2000,3,447,332,862
2000,3,564,496,1150
2000,3,491,309,802
2000,4,855,557,390
2000,4,692,521,358
2000,2,437,0,675
2000,2,598,0,849
2000,3,475,348,934
2000,3,509,523,1048
2000,3,542,311,968
2000,3,490,335,1126
2000,4,808,511,368
2000,4,863,665,418
2000,2,468,0,1019
2000,2,498,0,833
2000,3,610,316,827
2000,3,412,350,920
2000,4,793,529,425
2000,4,733,599,428
2000,2,531,0,949
2000,2,490,0,874
2000,2,520,0,1064
2000,2,665,0,949
2000,3,706,596,1222
2000,3,485,368,1147
2000,3,465,323,803
2000,3,514,359,799
2000,4,999,744,457
2000,4,1017,816,608
2000,2,504,0,849
2000,2,449,0,721
2000,3,521,306,1104
2000,3,480,322,867
2000,4,994,680,494
2000,4,1182,849,587
2000,2,601,0,962
2000,2,462,0,759
2000,2,423,0,686
2000,2,468,0,738
2000,1,3,0,759
2000,1,2,0,948
2000,1,2,0,832
2000,1,3,0,894
2000,3,644,513,1229
2000,3,537,408,930
2000,3,613,393,1082
2000,4,1254,800,593
2000,4,761,618,452
2000,2,407,0,701
2000,2,488,0,822
2000,3,423,357,966
2000,3,514,370,895
2000,4,937,513,402
2000,4,771,543,474
2000,2,534,0,1063
2000,2,560,0,840
2000,2,507,0,991
2000,3,468,388,1059
2000,3,482,464,1053
2000,3,477,307,895
2000,4,925,637,425
2000,4,722,510,386
2000,2,466,0,939
2000,2,571,0,822
2000,3,442,403,1177
2000,3,495,414,810
2000,4,914,771,530
2000,4,1529,804,663
2000,2,550,0,760
2000,2,463,0,759
2000,2,506,0,765
2000,1,2,0,728
2000,1,2,0,908
2000,1,3,0,702
2000,1,2,0,694
2000,1,3,0,1167
2000,1,2,0,940
2000,1,2,0,658
2000,1,3,0,1029
2000,1,4,0,1039
2000,1,3,0,901
2000,3,614,469,1348
2000,3,549,359,877
2000,4,744,535,418
2000,4,1060,612,452
2000,2,482,0,801
2000,2,583,0,918
2000,2,1118,0,1070
2000,2,601,0,969
2000,3,466,501,1067
2000,3,550,378,1023
2000,3,441,314,749
2000,3,490,330,949
2000,4,802,509,418
2000,4,881,517,437
2000,2,565,0,1016
2000,2,489,0,840
2000,3,514,354,1461
2000,3,472,304,909
2000,4,836,564,415
2000,4,978,737,509
2000,2,746,0,789
2000,2,500,0,945
2000,2,476,0,945
2000,3,474,339,798
2000,3,613,346,755
2000,3,420,293,835
2000,4,951,589,450
2000,4,744,520,409
2000,2,453,0,851
2000,2,474,0,1224
2000,1,2,0,1011
2000,1,2,0,740
2000,1,1,0,914
2000,1,2,0,702
2000,1,2,0,906
2000,1,6,0,1132
2000,3,454,495,1122
2000,3,614,541,971
2000,4,1527,1029,632
2000,4,824,723,443
2000,2,421,0,974
2000,2,541,0,885
2000,2,532,0,864
2000,2,601,0,910
2000,3,530,346,820
2000,3,422,344,935
2000,3,579,393,933
2000,3,415,270,842
2000,4,730,559,377
2000,4,729,492,384
2000,2,485,0,715
2000,2,514,0,710
2000,3,447,303,1079
2000,3,445,373,792
2000,4,884,616,418
2000,4,1305,631,577
2000,2,915,0,753
2000,2,526,0,679
2000,2,489,0,903
2000,3,516,491,975
2000,3,601,384,869
2000,3,466,478,953
2000,4,900,533,439
2000,4,788,600,393
2000,2,465,0,806
2000,2,456,0,725
2000,3,429,304,909
2000,3,537,448,1163
2000,3,545,383,1231
2000,3,487,357,875
2000,4,810,640,432
2000,4,863,727,427
2000,2,524,0,783
2000,2,424,0,1042
2000,3,493,297,980
2000,3,413,293,1108
2000,4,903,527,407
2000,4,1317,896,587
2000,2,720,0,1139
2000,2,606,0,960
2000,2,750,0,767
2000,2,549,0,938
2000,3,703,437,907
2000,3,694,446,1265
2000,3,515,335,804
2000,3,665,788,1018
2000,4,854,643,445
2000,4,827,528,375
2000,2,474,0,1001
2000,2,621,0,768
2000,3,424,301,811
2000,3,466,396,1053
2000,4,863,578,438
2000,4,716,501,339
2000,2,577,0,982
2000,2,580,0,798
2000,2,476,0,984
2000,2,490,0,834
2000,1,3,0,856
2000,1,3,0,655
2000,1,3,0,897
2000,1,4,0,837
2000,3,554,335,791
2000,3,520,350,857
2000,3,497,538,900
2000,4,875,616,405
2000,4,792,540,369
2000,2,533,0,781
2000,2,518,0,763
2000,3,486,294,846
2000,3,538,360,1031
2000,4,1108,625,582
2000,4,877,536,412
2000,2,475,0,753
2000,2,440,0,779
2000,2,509,0,896
2000,3,473,313,787
2000,3,423,304,854
2000,3,519,288,727
2000,4,811,699,431
2000,4,1015,549,439
2000,2,499,0,765
2000,2,618,0,781
2000,3,514,474,1543
2000,3,476,299,863
2000,4,868,538,405
2000,4,728,526,408
2000,2,556,0,823
2000,2,515,0,800
2000,2,517,0,1073
2000,1,2,0,890
2000,1,3,0,1007
2000,1,4,0,1132
2000,1,4,0,1055
2000,1,3,0,1021
2000,1,3,0,972
2000,1,1,0,971
2000,1,3,0,765
2000,1,3,0,782
2000,1,3,0,842
2000,3,553,329,1318
2000,3,495,301,913
2000,4,856,586,395
2000,4,1211,690,467
2000,2,736,0,1101
2000,2,447,0,902
2000,2,475,0,746
2000,2,577,0,819
2000,3,810,483,981
2000,3,502,380,950
2000,3,484,421,940
2000,3,478,320,875
2000,4,939,792,464
2000,4,742,497,395
2000,2,467,0,852
2000,2,523,0,681
2000,3,449,401,1104
2000,3,550,334,953
2000,4,838,494,372
2000,4,899,860,442
2000,2,1113,0,782
2000,2,436,0,697
2000,2,618,0,795
2000,3,563,501,1152
2000,3,412,296,1137
2000,3,517,361,920
2000,4,829,530,419
2000,4,801,519,387
2000,2,516,0,666
2000,2,641,0,740
2000,1,2,0,729
2000,1,2,0,912
2000,1,2,0,685
2000,1,3,0,764
2000,1,3,0,982
2000,1,2,0,953
2000,3,482,342,1392
2000,3,434,310,826
2000,4,974,656,460
2000,4,1115,912,702
2000,2,649,0,1095
2000,2,446,0,839
2000,2,524,0,1131
2000,2,521,0,726
2000,3,459,404,824
2000,3,885,623,959
2000,3,502,555,887
2000,3,436,280,879
2000,4,1688,862,436
2000,4,740,555,365
2000,2,471,0,751
2000,2,534,0,832
2000,3,558,397,1163
2000,3,507,610,1297
