SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2000,3,1095,639,1176
2000,3,639,481,1763
2000,4,2124,1050,795
2000,4,867,599,418
2000,2,803,0,895
2000,2,494,0,820
2000,2,466,0,825
2000,2,550,0,1102
2000,3,518,403,1155
2000,3,507,303,951
2000,3,446,288,812
2000,3,532,303,785
2000,4,848,702,493
2000,4,790,556,369
2000,2,523,0,823
2000,2,460,0,800
2000,3,751,502,1152
2000,3,473,328,971
2000,4,785,534,400
2000,4,763,501,415
2000,2,453,0,1034
2000,2,587,0,815
2000,2,458,0,703
2000,2,480,0,692
2000,3,542,437,1049
2000,3,489,297,902
2000,3,458,319,1065
2000,3,482,298,1066
2000,4,932,614,471
2000,4,873,497,399
2000,2,575,0,819
2000,2,623,0,990
2000,3,635,583,998
2000,3,468,331,1148
2000,4,765,550,387
2000,4,785,515,390
2000,2,444,0,804
2000,2,488,0,935
2000,2,483,0,730
2000,2,500,0,973
2000,3,671,418,996
2000,3,453,323,944
2000,3,440,294,796
2000,3,458,288,770
2000,4,718,509,379
2000,4,776,483,382
2000,2,463,0,981
2000,2,415,0,824
2000,3,615,486,1060
2000,3,585,394,961
2000,4,776,570,400
2000,4,837,715,415
2000,2,508,0,730
2000,2,547,0,809
2000,2,786,0,1059
2000,2,471,0,716
2000,3,521,319,849
2000,3,471,375,821
2000,3,559,340,862
2000,3,452,314,786
2000,4,888,524,371
2000,4,730,548,360
2000,2,413,0,920
2000,2,461,0,703
2000,3,940,1866,2371
2000,3,789,683,1575
2000,4,1096,872,603
2000,4,1045,770,506
2000,2,677,0,1072
2000,2,540,0,1077
2000,2,583,0,953
2000,2,571,0,857
2000,3,498,399,1001
2000,3,470,343,967
2000,3,529,328,822
2000,3,477,382,972
2000,4,1076,629,484
2000,4,1056,593,464
2000,2,525,0,782
2000,2,462,0,886
2000,3,854,1024,1904
2000,3,744,650,1383
2000,4,1033,817,530
2000,4,948,588,463
2000,2,529,0,953
2000,2,557,0,874
2000,2,456,0,729
2000,2,439,0,721
2000,3,699,373,938
2000,3,471,316,943
2000,3,530,396,828
2000,3,432,298,1052
2000,4,748,579,386
2000,4,826,509,397
2000,2,505,0,806
2000,2,531,0,865
2000,3,693,550,1501
2000,3,700,699,1236
2000,4,795,513,397
2000,4,850,854,534
2000,2,487,0,854
2000,2,457,0,1051
2000,2,439,0,1130
2000,2,525,0,707
2000,3,497,359,1159
2000,3,456,323,1108
2000,3,465,433,982
2000,3,409,293,1026
2000,4,759,551,394
2000,4,706,534,396
2000,2,492,0,741
2000,2,456,0,799
2000,3,780,472,1820
2000,3,931,533,1076
2000,4,895,525,397
2000,4,912,760,428
2000,2,474,0,693
2000,2,553,0,926
2000,2,471,0,921
2000,2,470,0,1012
2000,3,569,391,911
2000,3,501,317,1128
2000,3,576,374,866
2000,3,504,302,805
2000,4,845,515,376
2000,4,834,542,399
2000,2,490,0,730
2000,2,459,0,811
2000,3,590,429,1082
2000,3,714,502,1928
2000,4,1046,784,511
2000,4,902,672,434
2000,2,638,0,1031
2000,2,529,0,804
2000,2,476,0,996
2000,2,443,0,802
2000,3,476,351,863
2000,3,482,363,899
2000,3,505,315,851
2000,3,542,298,872
2000,4,771,536,403
2000,4,745,499,430
2000,2,614,0,805
2000,2,422,0,675
2000,3,1152,766,1581
2000,3,1026,550,2323
2000,4,858,561,443
2000,4,741,522,403
2000,2,537,0,1158
2000,2,615,0,1097
2000,2,546,0,724
2000,2,489,0,758
2000,3,434,318,788
2000,3,576,281,780
2000,3,466,358,830
2000,3,520,309,1009
2000,4,971,523,435
2000,4,677,461,388
2000,2,445,0,958
2000,2,469,0,712
2000,3,814,625,1720
2000,3,854,563,1595
2000,4,1070,1746,435
2000,4,845,512,369
2000,2,593,0,859
2000,2,700,0,1040
2000,2,465,0,915
2000,2,412,0,1002
2000,3,539,297,874
2000,3,447,294,1076
2000,3,542,292,827
2000,3,464,305,918
2000,4,825,505,514
2000,4,745,484,360
2000,2,557,0,778
2000,2,492,0,774
2000,3,577,469,1168
2000,3,510,380,981
2000,4,908,598,411
2000,4,805,551,402
2000,2,502,0,961
2000,2,530,0,952
2000,2,511,0,967
2000,2,466,0,797
2000,3,502,330,856
2000,3,613,321,863
2000,3,525,279,906
2000,3,467,347,812
2000,4,835,556,401
2000,4,722,550,408
2000,2,467,0,780
2000,2,525,0,712
2000,3,1036,863,2188
2000,3,615,525,1717
2000,4,1297,941,700
2000,4,928,841,482
2000,2,553,0,932
2000,2,428,0,807
2000,2,425,0,897
2000,2,514,0,799
2000,3,431,320,1101
2000,3,433,365,1060
2000,3,562,378,806
2000,3,464,305,1017
2000,4,1007,541,399
2000,4,796,493,362
2000,2,481,0,781
2000,2,692,0,773
2000,3,612,393,1736
2000,3,579,327,990
2000,4,770,559,397
2000,4,725,548,548
2000,2,486,0,726
2000,2,518,0,802
2000,2,437,0,801
2000,2,439,0,778
2000,3,481,420,915
2000,3,514,350,1156
2000,3,469,444,836
2000,3,455,321,857
2000,4,1010,560,385
2000,4,957,650,425
2000,2,459,0,763
2000,2,521,0,701
2000,3,561,386,910
2000,3,814,571,993
2000,4,701,533,373
2000,4,875,539,397
2000,2,406,0,934
2000,2,611,0,1324
2000,2,609,0,1004
2000,2,447,0,685
2000,3,535,296,769
2000,3,511,296,877
2000,3,451,301,770
2000,3,436,320,817
2000,4,862,584,387
2000,4,729,499,352
2000,2,545,0,1052
2000,2,472,0,735
2000,3,843,669,2018
2000,3,847,672,1913
2000,4,1205,612,476
2000,4,817,562,372
2000,2,564,0,798
2000,2,471,0,730
2000,2,408,0,1102
2000,2,513,0,842
2000,3,418,291,1033
2000,3,576,331,977
2000,3,497,278,1125
2000,3,443,303,942
2000,4,854,523,389
2000,4,835,625,422
2000,2,478,0,980
2000,2,511,0,758
2000,3,574,439,1419
2000,3,443,298,1028
2000,4,884,513,377
2000,4,774,553,428
2000,2,506,0,854
2000,2,588,0,1340
2000,2,533,0,895
2000,2,492,0,821
2000,3,522,417,806
2000,3,1209,506,1421
2000,3,626,427,1009
2000,3,526,287,904
2000,4,926,596,528
2000,4,766,506,363
2000,2,505,0,756
2000,2,504,0,749
