getter,peers,micros,payload,delay
1,100,1,32,219
1,100,1,32,38
1,100,1,32,35
1,100,1,32,38
1,100,1,32,37
1,100,1,32,35
1,100,1,32,32
1,100,1,32,33
1,100,1,32,35
1,100,1,32,35
1,100,1,32,42
1,100,1,32,38
1,100,1,32,36
1,100,1,32,33
1,100,1,32,33
1,100,1,32,36
1,100,1,32,36
1,100,1,32,33
1,100,1,32,38
1,100,1,32,33
1,100,1,32,36
1,100,1,32,36
1,100,1,32,35
1,100,1,32,37
1,100,1,32,35
1,100,1,32,38
1,100,1,32,34
1,100,1,32,35
1,100,1,32,32
1,100,1,32,38
1,100,1,32,34
1,100,1,32,41
1,100,1,32,32
1,100,1,32,33
1,100,1,32,37
1,100,1,32,39
1,100,1,32,33
1,100,1,32,31
1,100,1,32,39
1,100,1,32,35
1,100,1,32,36
1,100,1,32,33
1,100,1,32,34
1,100,1,32,36
1,100,1,32,34
1,100,1,32,33
1,100,1,32,36
1,100,1,32,30
1,100,1,32,33
1,100,1,32,38
1,100,1,32,32
1,100,1,32,33
1,100,1,32,35
1,100,1,32,37
1,100,1,32,32
1,100,1,32,30
1,100,1,32,31
1,100,1,32,31
1,100,1,32,34
1,100,1,32,34
1,100,1,32,36
1,100,1,32,33
1,100,1,32,36
1,100,1,32,32
1,100,1,32,36
1,100,1,32,39
1,100,1,32,37
1,100,1,32,35
1,100,1,32,33
1,100,1,32,32
1,100,1,32,32
1,100,1,32,32
1,100,1,32,31
1,100,1,32,36
1,100,1,32,31
1,100,1,32,35
1,100,1,32,36
1,100,1,32,35
1,100,1,32,34
1,100,1,32,32
1,100,1,32,34
1,100,1,32,38
1,100,1,32,33
1,100,1,32,35
1,100,1,32,35
1,100,1,32,35
1,100,1,32,34
1,100,1,32,33
1,100,1,32,35
1,100,1,32,32
1,100,1,32,35
1,100,1,32,34
1,100,1,32,35
1,100,1,32,32
1,100,1,32,33
1,100,1,32,32
1,100,1,32,38
1,100,1,32,36
1,100,1,32,36
1,100,1,32,37
1,100,1,32,37
1,100,1,32,33
1,100,1,32,38
1,100,1,32,35
1,100,1,32,33
1,100,1,32,36
1,100,1,32,32
1,100,1,32,33
1,100,1,32,41
1,100,1,32,32
1,100,1,32,37
1,100,1,32,35
1,100,1,32,38
1,100,1,32,37
1,100,1,32,31
1,100,1,32,41
1,100,1,32,40
1,100,1,32,34
1,100,1,32,40
1,100,1,32,40
1,100,1,32,36
1,100,1,32,33
1,100,1,32,36
1,100,1,32,39
1,100,1,32,32
1,100,1,32,33
1,100,1,32,34
1,100,1,32,34
1,100,1,32,31
1,100,1,32,32
1,100,1,32,31
1,100,1,32,31
1,100,1,32,35
1,100,1,32,32
1,100,1,32,37
1,100,1,32,34
1,100,1,32,35
1,100,1,32,32
1,100,1,32,32
1,100,1,32,32
1,100,1,32,30
1,100,1,32,31
1,100,1,32,32
1,100,1,32,31
1,100,1,32,35
1,100,1,32,32
1,100,1,32,32
1,100,1,32,35
1,100,1,32,31
1,100,1,32,34
1,100,1,32,41
1,100,1,32,32
1,100,1,32,30
1,100,1,32,36
1,100,1,32,32
1,100,1,32,35
1,100,1,32,38
1,100,1,32,34
1,100,1,32,38
1,100,1,32,32
1,100,1,32,34
1,100,1,32,38
1,100,1,32,35
1,100,1,32,36
1,100,1,32,37
1,100,1,32,32
1,100,1,32,35
1,100,1,32,36
1,100,1,32,31
1,100,1,32,31
1,100,1,32,31
1,100,1,32,35
1,100,1,32,39
1,100,1,32,32
1,100,1,32,32
1,100,1,32,32
1,100,1,32,42
1,100,1,32,36
1,100,1,32,33
1,100,1,32,38
1,100,1,32,31
1,100,1,32,34
1,100,1,32,33
1,100,1,32,34
1,100,1,32,35
1,100,1,32,33
1,100,1,32,31
1,100,1,32,35
1,100,1,32,35
1,100,1,32,31
1,100,1,32,30
1,100,1,32,36
1,100,1,32,35
1,100,1,32,33
1,100,1,32,36
1,100,1,32,35
1,100,1,32,32
1,100,1,32,33
1,100,1,32,31
