getter,peers,micros,payload,delay
50,100,1000000,32,217
50,100,1000000,32,183
50,100,1000000,32,198
50,100,1000000,32,227
50,100,1000000,32,229
50,100,1000000,32,228
50,100,1000000,32,274
50,100,1000000,32,211
50,100,1000000,32,200
50,100,1000000,32,200
50,100,1000000,32,209
50,100,1000000,32,211
50,100,1000000,32,180
50,100,1000000,32,180
50,100,1000000,32,192
50,100,1000000,32,173
50,100,1000000,32,198
50,100,1000000,32,179
50,100,1000000,32,189
50,100,1000000,32,220
50,100,1000000,32,187
50,100,1000000,32,209
50,100,1000000,32,228
50,100,1000000,32,195
50,100,1000000,32,212
50,100,1000000,32,178
50,100,1000000,32,172
50,100,1000000,32,178
50,100,1000000,32,167
50,100,1000000,32,198
50,100,1000000,32,205
50,100,1000000,32,197
50,100,1000000,32,177
50,100,1000000,32,179
50,100,1000000,32,202
50,100,1000000,32,193
50,100,1000000,32,211
50,100,1000000,32,198
50,100,1000000,32,199
50,100,1000000,32,209
50,100,1000000,32,212
50,100,1000000,32,181
50,100,1000000,32,197
50,100,1000000,32,232
50,100,1000000,32,195
50,100,1000000,32,222
50,100,1000000,32,192
50,100,1000000,32,189
50,100,1000000,32,169
50,100,1000000,32,113
50,100,1000000,32,122
50,100,1000000,32,108
50,100,1000000,32,102
50,100,1000000,32,114
50,100,1000000,32,119
50,100,1000000,32,120
50,100,1000000,32,127
50,100,1000000,32,127
50,100,1000000,32,111
50,100,1000000,32,104
50,100,1000000,32,110
50,100,1000000,32,114
50,100,1000000,32,102
50,100,1000000,32,121
50,100,1000000,32,103
50,100,1000000,32,89
50,100,1000000,32,96
50,100,1000000,32,100
50,100,1000000,32,113
50,100,1000000,32,109
50,100,1000000,32,105
50,100,1000000,32,95
50,100,1000000,32,106
50,100,1000000,32,116
50,100,1000000,32,118
50,100,1000000,32,97
50,100,1000000,32,92
50,100,1000000,32,121
50,100,1000000,32,96
50,100,1000000,32,99
50,100,1000000,32,113
50,100,1000000,32,114
50,100,1000000,32,105
50,100,1000000,32,97
50,100,1000000,32,98
50,100,1000000,32,102
50,100,1000000,32,108
50,100,1000000,32,117
50,100,1000000,32,130
50,100,1000000,32,127
50,100,1000000,32,113
50,100,1000000,32,96
50,100,1000000,32,112
50,100,1000000,32,112
50,100,1000000,32,114
50,100,1000000,32,108
50,100,1000000,32,97
50,100,1000000,32,99
50,100,1000000,32,101
50,100,1000000,32,129
50,100,1000000,32,129
50,100,1000000,32,106
50,100,1000000,32,112
50,100,1000000,32,107
50,100,1000000,32,112
50,100,1000000,32,119
50,100,1000000,32,130
50,100,1000000,32,122
50,100,1000000,32,123
50,100,1000000,32,100
50,100,1000000,32,106
50,100,1000000,32,160
50,100,1000000,32,93
50,100,1000000,32,95
50,100,1000000,32,100
50,100,1000000,32,92
50,100,1000000,32,94
50,100,1000000,32,94
50,100,1000000,32,112
50,100,1000000,32,99
50,100,1000000,32,99
50,100,1000000,32,93
50,100,1000000,32,100
50,100,1000000,32,109
50,100,1000000,32,113
50,100,1000000,32,95
50,100,1000000,32,87
50,100,1000000,32,93
50,100,1000000,32,95
50,100,1000000,32,93
50,100,1000000,32,104
50,100,1000000,32,102
50,100,1000000,32,101
50,100,1000000,32,90
50,100,1000000,32,96
50,100,1000000,32,98
50,100,1000000,32,105
50,100,1000000,32,113
50,100,1000000,32,116
50,100,1000000,32,110
50,100,1000000,32,107
50,100,1000000,32,94
50,100,1000000,32,102
50,100,1000000,32,105
50,100,1000000,32,120
50,100,1000000,32,117
50,100,1000000,32,92
50,100,1000000,32,96
50,100,1000000,32,92
50,100,1000000,32,116
50,100,1000000,32,107
50,100,1000000,32,162
50,100,1000000,32,116
50,100,1000000,32,106
50,100,1000000,32,118
50,100,1000000,32,136
50,100,1000000,32,147
50,100,1000000,32,125
50,100,1000000,32,141
50,100,1000000,32,93
50,100,1000000,32,103
50,100,1000000,32,120
50,100,1000000,32,96
50,100,1000000,32,94
50,100,1000000,32,89
50,100,1000000,32,103
50,100,1000000,32,92
50,100,1000000,32,89
50,100,1000000,32,101
50,100,1000000,32,122
50,100,1000000,32,98
50,100,1000000,32,98
50,100,1000000,32,109
50,100,1000000,32,114
50,100,1000000,32,117
50,100,1000000,32,96
50,100,1000000,32,89
50,100,1000000,32,94
50,100,1000000,32,93
50,100,1000000,32,92
50,100,1000000,32,96
50,100,1000000,32,109
50,100,1000000,32,101
50,100,1000000,32,88
50,100,1000000,32,98
50,100,1000000,32,96
50,100,1000000,32,113
50,100,1000000,32,121
50,100,1000000,32,123
50,100,1000000,32,111
50,100,1000000,32,119
50,100,1000000,32,107
50,100,1000000,32,103
50,100,1000000,32,110
50,100,1000000,32,133
50,100,1000000,32,119
50,100,1000000,32,93
50,100,1000000,32,96
50,100,1000000,32,90
50,100,1000000,32,122
50,100,1000000,32,116
50,100,1000000,32,102
50,100,1000000,32,121
50,100,1000000,32,151
50,100,1000000,32,128
50,100,1000000,32,149
50,100,1000000,32,144
50,100,1000000,32,135
50,100,1000000,32,136
50,100,1000000,32,99
50,100,1000000,32,106
50,100,1000000,32,113
50,100,1000000,32,96
50,100,1000000,32,98
50,100,1000000,32,92
50,100,1000000,32,109
50,100,1000000,32,96
50,100,1000000,32,95
50,100,1000000,32,100
50,100,1000000,32,110
50,100,1000000,32,98
50,100,1000000,32,99
50,100,1000000,32,106
50,100,1000000,32,102
50,100,1000000,32,112
50,100,1000000,32,93
50,100,1000000,32,89
50,100,1000000,32,97
50,100,1000000,32,93
50,100,1000000,32,94
50,100,1000000,32,95
50,100,1000000,32,98
50,100,1000000,32,98
50,100,1000000,32,92
50,100,1000000,32,97
50,100,1000000,32,102
50,100,1000000,32,104
50,100,1000000,32,113
50,100,1000000,32,116
50,100,1000000,32,108
50,100,1000000,32,122
50,100,1000000,32,105
50,100,1000000,32,104
50,100,1000000,32,106
50,100,1000000,32,125
50,100,1000000,32,122
50,100,1000000,32,95
50,100,1000000,32,98
50,100,1000000,32,93
50,100,1000000,32,106
50,100,1000000,32,105
50,100,1000000,32,120
50,100,1000000,32,132
50,100,1000000,32,141
50,100,1000000,32,119
50,100,1000000,32,146
50,100,1000000,32,147
50,100,1000000,32,142
50,100,1000000,32,135
50,100,1000000,32,99
50,100,1000000,32,106
50,100,1000000,32,121
50,100,1000000,32,96
50,100,1000000,32,105
50,100,1000000,32,84
50,100,1000000,32,112
50,100,1000000,32,104
50,100,1000000,32,96
50,100,1000000,32,109
50,100,1000000,32,125
50,100,1000000,32,97
50,100,1000000,32,98
50,100,1000000,32,103
50,100,1000000,32,101
50,100,1000000,32,119
50,100,1000000,32,112
50,100,1000000,32,96
50,100,1000000,32,97
50,100,1000000,32,102
50,100,1000000,32,96
50,100,1000000,32,116
50,100,1000000,32,99
50,100,1000000,32,102
50,100,1000000,32,100
50,100,1000000,32,109
50,100,1000000,32,117
50,100,1000000,32,118
50,100,1000000,32,131
50,100,1000000,32,122
50,100,1000000,32,118
50,100,1000000,32,110
50,100,1000000,32,105
50,100,1000000,32,100
50,100,1000000,32,107
50,100,1000000,32,106
50,100,1000000,32,122
50,100,1000000,32,107
50,100,1000000,32,94
50,100,1000000,32,105
50,100,1000000,32,111
50,100,1000000,32,118
50,100,1000000,32,122
50,100,1000000,32,128
50,100,1000000,32,120
50,100,1000000,32,121
50,100,1000000,32,132
50,100,1000000,32,122
50,100,1000000,32,124
50,100,1000000,32,151
50,100,1000000,32,96
50,100,1000000,32,106
50,100,1000000,32,107
50,100,1000000,32,92
50,100,1000000,32,98
50,100,1000000,32,87
50,100,1000000,32,103
50,100,1000000,32,97
50,100,1000000,32,93
50,100,1000000,32,104
